Labor Id,Supervisor Id,Rating,City Id,Gender,Wage Type,Wage
57-0324212,97-4354316,3.3,92-6548184,Male,Weekly,id ligula suspendisse ornare consequat lectus in est risus auctor sed
98-9387639,63-8777269,2.8,70-7773238,Genderfluid,Daily,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
87-1338910,63-8777269,1.6,83-7415281,Female,Daily,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
66-2144147,82-5698982,4.5,24-2937374,Male,Daily,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
58-9021330,34-1814620,2.4,98-1837602,Female,Weekly,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
08-7327675,27-4449068,3.2,68-9950285,Male,Daily,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
96-5840244,85-5068823,2.6,61-5404623,Male,Weekly,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
93-4064352,39-5803973,1.0,95-1255932,Male,Weekly,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
81-7514895,31-0346296,3.7,67-5896799,Female,Weekly,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
89-9306325,05-0477981,1.7,64-7792197,Male,Weekly,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
88-0421245,61-2659675,4.2,15-6863221,Female,Weekly,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
39-5362523,38-6714929,2.7,46-2390940,Female,Weekly,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
58-7071391,39-4698932,2.1,23-1815196,Male,Weekly,curae duis faucibus accumsan odio curabitur convallis duis consequat dui
40-2256414,38-6714929,1.7,17-1949660,Male,Daily,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
04-0093057,82-5698982,4.9,14-4555940,Male,Weekly,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
37-4965873,20-0306068,3.3,18-9258390,Female,Weekly,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
92-7679652,83-1126121,3.1,04-0319505,Female,Weekly,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
01-8708559,48-5990749,4.9,80-1333970,Male,Daily,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget
23-8255192,20-0306068,1.5,04-9973393,Male,Daily,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam
32-7896303,04-5861855,4.9,60-6081508,Male,Weekly,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
24-1827746,24-5454483,3.7,06-0130045,Male,Weekly,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
63-9028445,04-2936535,3.1,44-7061431,Male,Daily,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
